,Timestamp,Rainfall,Water level,Inc30mup,Inc30mdown ,Inc20mup ,Inc20mdown,Inc10mup,Inc10mdown,1stTensiometer,2ndTensiometer,3rdTensiometer ,4thTensiometer,5thTensiometer
119,06-12-2022 00:00,0,-203.77688,25.839791,34.788423,19.231278,33.677322,23.42827,28.080205,-48.922026,-49.934228,181.74611,-3.1186985,-48.70951
120,06-12-2022 01:00,0,-123.71803,28.620652,27.004897,18.548803,25.90489,14.359134,19.167883,-48.966812,-49.936902,181.76411,-3.096573,-48.75087
121,06-12-2022 02:00,0,-203.20863,27.293523,29.521387,22.233418,31.989006,17.980555,24.223262,-48.995642,-49.939552,181.77553,-3.086987,-48.776502
122,06-12-2022 03:00,0,42.804717,22.154553,21.813243,9.427195,19.98273,21.584782,20.70061,-49.049152,-49.942954,181.78717,-3.079598,-48.821994
123,06-12-2022 04:00,0,-50.741335,13.715366,21.389163,12.466373,21.64518,14.236634,19.965567,-49.083328,-49.945334,181.79529,-3.074612,-48.858546
124,06-12-2022 05:00,0,-152.0224,26.525819,28.686503,18.723184,20.849983,15.622099,26.661277,-49.125928,-49.947726,181.80632,-3.0681075,-48.894236
125,06-12-2022 06:00,0,-117.473184,29.955456,27.09905,21.547476,35.410871,17.246809,24.110909,-49.160212,-49.95005,181.81742,-3.056099,-48.926338
126,06-12-2022 07:00,0,-182.29687,27.238855,29.480217,20.146948,27.963844,27.225461,25.692514,-49.124592,-49.946758,181.82544,-3.0581745,-48.895808
127,06-12-2022 08:00,0,38.435838,14.3785505,19.840605,16.602862,29.955679,11.858682,18.661829,-48.944704,-49.935152,181.7829,-3.101681,-48.734758
128,06-12-2022 09:00,0,987.46644,-19.5215,-20.335611,-24.546908,-18.49919,-26.48447,-15.253629,-48.62836,-49.911558,181.72324,-3.1654035,-48.439408
129,06-12-2022 10:00,0,933.61368,-12.666601,-14.947667,-19.535287,-13.971215,-21.975014,-12.788418,-48.276364,-49.8799,181.66774,-3.2020625,-48.118754
